title,subtitle,authors,isbn,publisher,publication_year,language,page_count,description,genre,tags,shelf,purchase_date,purchase_price
Song of Solomon,,Toni Morrison,9781400033423,Standard Publishing,1977,English,337,Milkman Dead embarks on a quest to discover his heritage and identity in Michigan.,Classics,classics;recommended,Shelf C5,2023-01-15,21.00
Invisible Man,,Ralph Ellison,9780679732761,Standard Publishing,1952,English,581,An unnamed African American narrator navigates alienation and invisibility in 20th-century America.,Classics,classics;recommended;epic,Shelf C6,2023-01-15,27.00
Things Fall Apart,,Chinua Achebe,9780385474542,Standard Publishing,1958,English,209,"Okonkwo, an Igbo leader and local wrestling champion, witnesses European colonialism in Nigeria.",Classics,classics;recommended,Shelf C3,2023-01-15,14.99
The Road,,Cormac McCarthy,9780307387899,Standard Publishing,2006,English,287,A father and young son walk alone through burned post-apocalyptic America toward the coast.,Fiction,fiction;recommended,Shelf F6,2023-01-15,24.50
Blood Meridian,,Cormac McCarthy,9780679728757,Standard Publishing,1985,English,337,The Kid runs with the Glanton gang along the Texas-Mexico border in a brutal epic western.,Classics,classics;recommended,Shelf C3,2023-01-15,15.50
No Country for Old Men,,Cormac McCarthy,9780307387134,Standard Publishing,2005,English,309,Llewelyn Moss discovers drug money in Texas and is relentlessly hunted by killer Anton Chigurh.,Thriller,thriller;recommended,Shelf T4,2023-01-15,12.00
All the Pretty Horses,,Cormac McCarthy,9780679744399,Standard Publishing,1992,English,302,John Grady Cole rides south to Mexico in 1949 to work as a cowboy and finds romance.,Fiction,fiction;recommended,Shelf F4,2023-01-15,14.00
The Handmaid's Tale,,Margaret Atwood,9780385490818,Standard Publishing,1985,English,311,Offred navigates the totalitarian Republic of Gilead where fertile women are forced into reproductive servitude.,Sci-Fi,sci-fi;recommended,Shelf S5,2023-01-15,22.99
Oryx and Crake,,Margaret Atwood,9780385721677,Standard Publishing,2003,English,376,Snowman mourns the loss of his friend Crake and the bioengineered collapse of global civilization.,Sci-Fi,sci-fi;recommended,Shelf S6,2023-01-15,30.50
Alias Grace,,Margaret Atwood,9780385490443,Standard Publishing,1996,English,468,A psychological historical novel examining the controversial 1843 murders of Thomas Kinnear.,History,history;recommended;epic,Shelf H6,2023-01-15,39.99
The Blind Assassin,,Margaret Atwood,9780385720953,Standard Publishing,2000,English,521,Iris Chase Griffen recounts her sister Laura's mysterious suicide in 1945 Ontario.,Fiction,fiction;recommended;epic,Shelf F2,2023-01-15,28.50
Circe,,Madeline Miller,9780316556347,Standard Publishing,2018,English,393,The mythological goddess Circe discovers her witchcraft on the isolated island of Aiaia.,Mythology,mythology;recommended,Shelf M4,2023-01-15,31.00
The Song of Achilles,,Madeline Miller,9780062060624,Standard Publishing,2011,English,378,Patroclus and the legendary hero Achilles forge an unbreakable bond before the Trojan War.,Mythology,mythology;recommended,Shelf M6,2023-01-15,43.50
The Underground Railroad,,Colson Whitehead,9780385542364,Standard Publishing,2016,English,306,Cora escapes a Georgia plantation via a literal subterranean railroad system.,History,history;recommended,Shelf H1,2023-01-15,9.00
The Nickel Boys,,Colson Whitehead,9780385537070,Standard Publishing,2019,English,224,Elwood Curtis is sentenced to the brutal Dozier School for Boys in Jim Crow-era Florida.,History,history;recommended,Shelf H1,2023-01-15,41.50
Station Eleven,,Emily St. John Mandel,9780385353304,Standard Publishing,2014,English,333,A nomadic troupe of actors and musicians performs Shakespeare in the Great Lakes region after a flu pandemic.,Sci-Fi,sci-fi;recommended,Shelf S2,2023-01-15,9.99
Sea of Tranquility,,Emily St. John Mandel,9780593321447,Standard Publishing,2022,English,255,"A time-traveling detective investigates anomalies across Vancouver Island, New York, and moon colonies.",Sci-Fi,sci-fi;recommended,Shelf S1,2023-01-15,22.50
Piranesi,,Susanna Clarke,9781635575637,Standard Publishing,2020,English,245,Piranesi lives in a vast labyrinth of infinite halls containing an ocean with surging tides.,Fantasy,fantasy;recommended,Shelf F4,2023-01-15,16.50
Jonathan Strange & Mr Norrell,,Susanna Clarke,9780765356154,Standard Publishing,2004,English,1006,Two magicians restore practical English magic in nineteenth-century England.,Fantasy,fantasy;recommended;epic,Shelf F6,2023-01-15,29.00
A Gentleman in Moscow,,Amor Towles,9780143110439,Standard Publishing,2016,English,462,Count Alexander Rostov is sentenced by a Bolshevik tribunal to spend his life in Hotel Metropol.,Fiction,fiction;recommended;epic,Shelf F4,2023-01-15,27.50
Rules of Civility,,Amor Towles,9780143121169,Standard Publishing,2011,English,335,Katey Kontent navigates 1938 Manhattan high society after an unexpected New Year's Eve encounter.,Fiction,fiction;recommended,Shelf F2,2023-01-15,13.99
The Lincoln Highway,,Amor Towles,9780735222359,Standard Publishing,2021,English,576,Eighteen-year-old Emmett Watson plans to start a new life in California in June 1954.,Fiction,fiction;recommended;epic,Shelf F2,2023-01-15,21.50
Pachinko,,Min Jin Lee,9781455563937,Standard Publishing,2017,English,496,An epic four-generation saga of a Korean family living in Japan facing discrimination.,History,history;recommended;epic,Shelf H1,2023-01-15,15.99
Free Food for Millionaires,,Min Jin Lee,9780446581080,Standard Publishing,2007,English,562,"Casey Han navigates Wall Street ambitions, Korean heritage, and Manhattan glamour.",Fiction,fiction;recommended;epic,Shelf F4,2023-01-15,33.50
All the Light We Cannot See,,Anthony Doerr,9781501173219,Standard Publishing,2014,English,531,A blind French girl and a German radio engineer's paths collide in occupied Saint-Malo.,History,history;recommended;epic,Shelf H3,2023-01-15,26.50
Cloud Cuckoo Land,,Anthony Doerr,9781982168438,Standard Publishing,2021,English,626,"Five characters across Constantinople, Idaho, and an interstellar ship are united by an ancient Greek story.",Fiction,fiction;recommended;epic,Shelf F1,2023-01-15,13.99
Cloud Atlas,,David Mitchell,9780375507250,Standard Publishing,2004,English,509,Six nested stories spanning the 19th-century South Pacific to a post-apocalyptic future.,Sci-Fi,sci-fi;recommended;epic,Shelf S6,2023-01-15,22.00
The Bone Clocks,,David Mitchell,9780812992922,Standard Publishing,2014,English,624,Holly Sykes is caught in a secret war between the immortal Horology and the soul-consuming Anchorites.,Fantasy,fantasy;recommended;epic,Shelf F3,2023-01-15,40.50
Midnight's Children,,Salman Rushdie,9780812976533,Standard Publishing,1981,English,533,Saleem Sinai is born at the midnight stroke of India's independence with telepathic powers.,Classics,classics;recommended;epic,Shelf C1,2023-01-15,45.00
The Satanic Verses,,Salman Rushdie,9780812976717,Standard Publishing,1988,English,547,Gibreel Farishta and Saladin Chamcha survive an exploding aircraft over the English Channel.,Fiction,fiction;recommended;epic,Shelf F4,2023-01-15,10.00
The Goldfinch,,Donna Tartt,9780316055437,Standard Publishing,2013,English,771,Theo Decker survives a museum bombing and clings to a small 1654 painting by Carel Fabritius.,Fiction,fiction;recommended;epic,Shelf F6,2023-01-15,30.00
The Secret History,,Donna Tartt,9781400031702,Standard Publishing,1992,English,559,A clique of six eccentric classics students at a Vermont college descend into betrayal and murder.,Mystery,mystery;recommended;epic,Shelf M5,2023-01-15,10.99
The Little Friend,,Donna Tartt,9781400031696,Standard Publishing,2002,English,624,Twelve-year-old Harriet Cleve Dufresnes seeks to avenge her brother's unsolved murder in Mississippi.,Mystery,mystery;recommended;epic,Shelf M2,2023-01-15,9.99
Normal People,,Sally Rooney,9781984822178,Standard Publishing,2018,English,273,Connell and Marianne weave in and out of each other's romantic lives from school to Trinity College.,Fiction,fiction;recommended,Shelf F4,2023-01-15,23.00
Conversations with Friends,,Sally Rooney,9780451499059,Standard Publishing,2017,English,304,Frances and Bobbi become entangled with an older married couple in Dublin's literary scene.,Fiction,fiction;recommended,Shelf F6,2023-01-15,42.00
"Beautiful World, Where Are You",,Sally Rooney,9780374602604,Standard Publishing,2021,English,356,"Alice, Felix, Eileen, and Simon navigate desire, friendship, and vulnerability in modern Ireland.",Fiction,fiction;recommended,Shelf F2,2023-01-15,9.99
"Tomorrow, and Tomorrow, and Tomorrow",,Gabrielle Zevin,9780593321201,Standard Publishing,2022,English,401,Sam and Sadie create legendary video games while navigating creative partnership and heartbreak.,Fiction,fiction;recommended;epic,Shelf F1,2023-01-15,27.50
Shuggie Bain,,Douglas Stuart,9780802148049,Standard Publishing,2020,English,430,A young boy grows up in 1980s Glasgow supporting his mother through poverty and alcoholism.,Fiction,fiction;recommended;epic,Shelf F4,2023-01-15,43.99
Young Mungo,,Douglas Stuart,9780802159557,Standard Publishing,2022,English,390,"Two young men, one Protestant and one Catholic, fall in love in post-industrial Glasgow.",Fiction,fiction;recommended,Shelf F1,2023-01-15,39.00
A Little Life,,Hanya Yanagihara,9780804172707,Standard Publishing,2015,English,720,"Four college classmates move to New York, centered around Jude St. Francis's mysterious past trauma.",Fiction,fiction;recommended;epic,Shelf F2,2023-01-15,37.00
The People in the Trees,,Hanya Yanagihara,9780345805300,Standard Publishing,2013,English,384,A scientist discovers an isolated Micronesian island tribe whose meat grants near-immortality.,Fiction,fiction;recommended,Shelf F3,2023-01-15,33.50
Demon Copperhead,,Barbara Kingsolver,9780063251922,Standard Publishing,2022,English,548,"A modern Appalachian retelling of David Copperfield navigating foster care, addiction, and love.",Fiction,fiction;recommended;epic,Shelf F6,2023-01-15,42.00
The Poisonwood Bible,,Barbara Kingsolver,9780060786502,Standard Publishing,1998,English,546,An evangelical Baptist minister takes his family to the Belgian Congo on a perilous mission.,Classics,classics;recommended;epic,Shelf C1,2023-01-15,26.50
Flight Behavior,,Barbara Kingsolver,9780062124272,Standard Publishing,2012,English,436,A Tennessee farmwife discovers millions of monarch butterflies roosting in her valley.,Fiction,fiction;recommended;epic,Shelf F5,2023-01-15,17.99
The Overstory,,Richard Powers,9780393635522,Standard Publishing,2018,English,512,Nine distinct Americans are summoned together by trees to fight the destruction of virgin forests.,Fiction,fiction;recommended;epic,Shelf F4,2023-01-15,9.00
Bewilderment,,Richard Powers,9780393881141,Standard Publishing,2021,English,278,An astrobiologist treats his neurodivergent son with experimental neural feedback based on the boy's late mother.,Sci-Fi,sci-fi;recommended,Shelf S6,2023-01-15,26.50
Trust,,Hernan Diaz,9780593420317,Standard Publishing,2022,English,416,Four competing narratives dissect the immense wealth and deception of a 1920s Wall Street financier.,History,history;recommended;epic,Shelf H3,2023-01-15,25.99
In the Distance,,Hernan Diaz,9781566894883,Standard Publishing,2017,English,256,A young Swedish immigrant travels across 19th-century America in search of his lost brother.,History,history;recommended,Shelf H3,2023-01-15,37.00
Lonesome Dove,,Larry McMurtry,9781476748382,Standard Publishing,1985,English,843,Two retired Texas Rangers drive a herd of cattle from the Rio Grande to Montana.,Adventure,adventure;recommended;epic,Shelf A5,2023-01-15,14.99
The Pillars of the Earth,,Ken Follett,9780451166890,Standard Publishing,1989,English,973,The building of a majestic Gothic cathedral in the 12th-century English town of Kingsbridge.,History,history;recommended;epic,Shelf H1,2023-01-15,37.99
World Without End,,Ken Follett,9780451224996,Standard Publishing,2007,English,1014,"Two centuries after the cathedral, Kingsbridge is torn apart by the Black Death and the Hundred Years' War.",History,history;recommended;epic,Shelf H4,2023-01-15,15.00
Shōgun,,James Clavell,9780440178002,Standard Publishing,1975,English,1152,English navigator John Blackthorne is shipwrecked in feudal Japan amidst Lord Toranaga's rise.,History,history;recommended;epic,Shelf H4,2023-01-15,16.50
Tai-Pan,,James Clavell,9780440184621,Standard Publishing,1966,English,734,Dirk Struan fights rival trading companies in 1841 Hong Kong to build a commercial empire.,History,history;recommended;epic,Shelf H3,2023-01-15,40.99
"Guns, Germs, and Steel",,Jared Diamond,9780393317558,Standard Publishing,1997,English,480,"The fates of human societies explained through geographic, ecological, and environmental advantages.",History,history;recommended;epic,Shelf H4,2023-01-15,22.99
Collapse,,Jared Diamond,9780143036555,Standard Publishing,2005,English,575,How societies choose to fail or survive based on environmental impact and climate change.,Science,science;recommended;epic,Shelf S1,2023-01-15,25.00
The Selfish Gene,,Richard Dawkins,9780199291151,Standard Publishing,1976,English,360,"Evolutionary biology viewed from the gene's perspective, introducing the concept of the meme.",Science,science;recommended,Shelf S5,2023-01-15,25.99
The Gene: An Intimate History,,Siddhartha Mukherjee,9781476733500,Standard Publishing,2016,English,592,The history of genetics from Mendel and Darwin to modern CRISPR gene editing.,Science,science;recommended;epic,Shelf S6,2023-01-15,10.99
The Emperor of All Maladies,,Siddhartha Mukherjee,9781439170915,Standard Publishing,2010,English,571,"A biography of cancer: centuries of struggle, clinical breakthroughs, and the quest for a cure.",Science,science;recommended;epic,Shelf S2,2023-01-15,45.99
Astrophysics for People in a Hurry,,Neil deGrasse Tyson,9780393609394,Standard Publishing,2017,English,224,"A quick, witty primer on black holes, quantum mechanics, dark matter, and cosmic origin.",Science,science;recommended,Shelf S3,2023-01-15,39.99
Thinking in Systems,,Donella H. Meadows,9781603580557,Standard Publishing,2008,English,240,"A primer on systems thinking, feedback loops, leverage points, and avoiding policy resistance.",Business,business;recommended,Shelf B6,2023-01-15,42.00
Influence,,Robert B. Cialdini,9780061241895,Standard Publishing,2006,English,320,"The six psychological principles of persuasion: reciprocity, commitment, social proof, authority, liking, and scarcity.",Psychology,psychology;recommended,Shelf P4,2023-01-15,17.00
Never Split the Difference,,Chris Voss;Tahl Raz,9780062407801,Standard Publishing,2016,English,288,A former FBI international hostage negotiator reveals actionable strategies for high-stakes negotiation.,Business,business;recommended,Shelf B2,2023-01-15,39.00
Start with Why,,Simon Sinek,9781591846444,Standard Publishing,2009,English,256,How great leaders inspire action by focusing on their core purpose and fundamental belief.,Business,business;recommended,Shelf B3,2023-01-15,21.50
Good to Great,,Jim Collins,9780066620992,Standard Publishing,2001,English,300,"Why some companies make the leap to superior performance and others fail, based on 5-year empirical research.",Business,business;recommended,Shelf B6,2023-01-15,25.99
The Lean Startup,,Eric Ries,9780307887894,Standard Publishing,2011,English,336,"Continuous innovation, MVP testing, and validated learning for entrepreneurial ventures.",Business,business;recommended,Shelf B3,2023-01-15,16.50
The Hard Thing About Hard Things,,Ben Horowitz,9780062273208,Standard Publishing,2014,English,304,A16z cofounder Ben Horowitz offers realistic advice on building and running a startup through crises.,Business,business;recommended,Shelf B5,2023-01-15,16.50
High Output Management,,Andrew S. Grove,9780679762881,Standard Publishing,1995,English,272,"Intel's legendary CEO Andrew Grove explains managerial leverage, meetings, output, and motivation.",Business,business;recommended,Shelf B5,2023-01-15,36.00
Rework,,Jason Fried;David Heinemeier Hansson,9780307463746,Standard Publishing,2010,English,288,"Basecamp founders explain a better, faster, easier way to succeed in business without traditional red tape.",Business,business;recommended,Shelf B2,2023-01-15,29.00
Essentialism,,Greg McKeown,9780804137386,Standard Publishing,2014,English,272,The disciplined pursuit of less: doing only what is vital to make your highest possible contribution.,Self-Help,self-help;recommended,Shelf S1,2023-01-15,24.50
The Power of Habit,,Charles Duhigg,9780812981605,Standard Publishing,2012,English,371,"Why habits exist, the cue-routine-reward loop, and how they can be changed in life and business.",Psychology,psychology;recommended,Shelf P2,2023-01-15,38.00
Quiet,,Susan Cain,9780307352156,Standard Publishing,2012,English,352,"The power of introverts in a world that can't stop talking, and why reflective thinkers excel.",Psychology,psychology;recommended,Shelf P4,2023-01-15,23.99
Grit,,Angela Duckworth,9781501111105,Standard Publishing,2016,English,352,Why passion and long-term perseverance matter more than talent for outstanding achievement.,Psychology,psychology;recommended,Shelf P2,2023-01-15,40.00
Mindset,,Carol S. Dweck,9780345472327,Standard Publishing,2006,English,288,The new psychology of success: how fixed versus growth mindset transforms learning and relationships.,Psychology,psychology;recommended,Shelf P3,2023-01-15,10.00
Flow,,Mihaly Csikszentmihalyi,9780061339202,Standard Publishing,1990,English,303,The psychology of optimal experience and achieving state of total engagement in activities.,Psychology,psychology;recommended,Shelf P2,2023-01-15,17.99
The Art of War,,Sun Tzu,9781590302255,Standard Publishing,-500,English,112,"Ancient military treatise attributed to Sun Tzu, with timeless insights on strategy and conflict.",Philosophy,philosophy;recommended;classic,Shelf P2,2023-01-15,25.00
The Prince,,Niccolò Machiavelli,9780140449150,Standard Publishing,1532,English,140,"Political treatise on power acquisition, statecraft, pragmatism, and maintaining control.",Philosophy,philosophy;recommended;classic,Shelf P6,2023-01-15,32.00
Beyond Good and Evil,,Friedrich Nietzsche,9780140449235,Standard Publishing,1886,English,240,"Nietzsche's critique of traditional morality, truth, and philosophical dogmatism.",Philosophy,philosophy;recommended;classic,Shelf P1,2023-01-15,29.00
Thus Spoke Zarathustra,,Friedrich Nietzsche,9780140441185,Standard Publishing,1883,English,352,"Philosophical novel introducing the Übermensch, eternal recurrence, and the will to power.",Philosophy,philosophy;recommended;classic,Shelf P6,2023-01-15,37.50
The Republic,,Plato,9780140455113,Standard Publishing,-375,English,416,"Plato's foundational dialogue on justice, the philosopher king, and the ideal city-state.",Philosophy,philosophy;recommended;epic;classic,Shelf P3,2023-01-15,26.00
Nicomachean Ethics,,Aristotle,9780140449495,Standard Publishing,-350,English,384,"Aristotle's inquiry into the nature of the good life, virtues, and eudaimonia.",Philosophy,philosophy;recommended;classic,Shelf P3,2023-01-15,29.00
Critique of Pure Reason,,Immanuel Kant,9780521657297,Standard Publishing,1781,English,784,Kant's synthesis of rationalism and empiricism examining the limits of human cognition.,Philosophy,philosophy;recommended;epic;classic,Shelf P5,2023-01-15,19.00
Being and Time,,Martin Heidegger,9780631197706,Standard Publishing,1927,English,589,Fundamental existential ontology analyzing the meaning of Being and Dasein.,Philosophy,philosophy;recommended;epic;classic,Shelf P1,2023-01-15,12.00
Discourses and Selected Writings,,Epictetus,9780140449464,Standard Publishing,108,English,320,"Stoic teachings on what is within our control versus what is not, and finding serenity.",Philosophy,philosophy;recommended;classic,Shelf P5,2023-01-15,41.00
The Obstacle Is the Way,,Ryan Holiday,9781591846352,Standard Publishing,2014,English,224,Applying ancient Stoic philosophy to turn trials and challenges into personal triumphs.,Self-Help,self-help;recommended,Shelf S1,2023-01-15,18.50
Ego Is the Enemy,,Ryan Holiday,9781591847816,Standard Publishing,2016,English,256,"How ego sabotages success, prevents learning, and how humility sustains achievement.",Self-Help,self-help;recommended,Shelf S5,2023-01-15,33.99
Stillness Is the Key,,Ryan Holiday,9780525538585,Standard Publishing,2019,English,288,Drawing on Stoic and Buddhist wisdom on tranquility as the secret to focus and peace.,Self-Help,self-help;recommended,Shelf S2,2023-01-15,40.50
Drive,,Daniel H. Pink,9781594484803,Standard Publishing,2009,English,256,"The surprising truth about what motivates us: autonomy, mastery, and purpose.",Business,business;recommended,Shelf B4,2023-01-15,33.99
When,,Daniel H. Pink,9780735210622,Standard Publishing,2018,English,272,"The scientific secrets of perfect timing in health, productivity, and decision-making.",Self-Help,self-help;recommended,Shelf S1,2023-01-15,12.00
To Sell Is Human,,Daniel H. Pink,9781594631900,Standard Publishing,2012,English,272,The surprising truth about moving others in work and everyday life.,Business,business;recommended,Shelf B2,2023-01-15,44.00
Predictably Irrational,,Dan Ariely,9780061353246,Standard Publishing,2008,English,384,The hidden forces that shape our everyday decisions and systematically biased choices.,Psychology,psychology;recommended,Shelf P6,2023-01-15,22.50
The Power of Now,,Eckhart Tolle,9781577314806,Standard Publishing,1997,English,236,A guide to spiritual enlightenment and living fully in the present moment.,Self-Help,self-help;recommended,Shelf S6,2023-01-15,16.50
A New Earth,,Eckhart Tolle,9780452289963,Standard Publishing,2005,English,336,Awakening to your life's purpose and transcending ego-based states of consciousness.,Self-Help,self-help;recommended,Shelf S2,2023-01-15,9.00
Born a Crime,,Trevor Noah,9780399588198,Standard Publishing,2016,English,304,Trevor Noah's hilarious and moving stories from a South African childhood during apartheid.,Biography,biography;recommended,Shelf B2,2023-01-15,45.00
When Breath Becomes Air,,Paul Kalanithi,9780812988406,Standard Publishing,2016,English,228,Neurosurgeon Paul Kalanithi's profound memoir facing stage IV lung cancer at age thirty-six.,Biography,biography;recommended,Shelf B2,2023-01-15,18.50
Leonardo da Vinci,,Walter Isaacson,9781501139154,Standard Publishing,2017,English,624,An intimate portrait of history's most creative genius and his insatiable curiosity.,Biography,biography;recommended;epic,Shelf B5,2023-01-15,41.99
Einstein,,Walter Isaacson,9780743264747,Standard Publishing,2007,English,704,"The life and universe of Albert Einstein, the rebel patent clerk who redefined physics.",Biography,biography;recommended;epic,Shelf B2,2023-01-15,12.50
Elon Musk,,Walter Isaacson,9781982181284,Standard Publishing,2023,English,688,"The astonishingly intimate story of the controversial innovator behind Tesla, SpaceX, and Neuralink.",Biography,biography;recommended;epic,Shelf B4,2023-01-15,22.50
The Wright Brothers,,David McCullough,9781476728759,Standard Publishing,2015,English,336,The dramatic story of Wilbur and Orville Wright who taught the world how to fly.,Biography,biography;recommended,Shelf B4,2023-01-15,30.00
John Adams,,David McCullough,9780684813639,Standard Publishing,2001,English,751,Pulitzer Prize-winning biography of American founding father and second president John Adams.,Biography,biography;recommended;epic,Shelf B2,2023-01-15,28.99
1776,,David McCullough,9780743226721,Standard Publishing,2005,English,400,The momentous year of the American Revolution and the leadership of George Washington.,History,history;recommended,Shelf H5,2023-01-15,44.99
Team of Rivals,,Doris Kearns Goodwin,9780684824901,Standard Publishing,2005,English,944,Abraham Lincoln's political genius in assembling his cabinet from his fiercest rivals.,Biography,biography;recommended;epic,Shelf B4,2023-01-15,33.99
Leadership in Turbulent Times,,Doris Kearns Goodwin,9781476795928,Standard Publishing,2018,English,496,"How Abraham Lincoln, Theodore Roosevelt, FDR, and Lyndon Johnson developed leadership under fire.",Biography,biography;recommended;epic,Shelf B1,2023-01-15,42.00
The Splendid and the Vile,,Erik Larson,9780385348713,Standard Publishing,2020,English,608,"Winston Churchill, family, and Britain standing resilient during the London Blitz of 1940.",History,history;recommended;epic,Shelf H5,2023-01-15,36.99
The Devil in the White City,,Erik Larson,9780375725609,Standard Publishing,2003,English,447,The 1893 Chicago World's Fair intertwined with serial killer H.H. Holmes' murder castle.,History,history;recommended;epic,Shelf H1,2023-01-15,34.99
In the Garden of Beasts,,Erik Larson,9780307408853,Standard Publishing,2011,English,480,The first American ambassador to Nazi Germany witnesses Hitler's ascent to power in 1933 Berlin.,History,history;recommended;epic,Shelf H4,2023-01-15,20.99
Say Nothing,,Patrick Radden Keefe,9780385521314,Standard Publishing,2019,English,464,"A stunning narrative of murder, memory, and political violence in Northern Ireland during the Troubles.",History,history;recommended;epic,Shelf H1,2023-01-15,41.99
Empire of Pain,,Patrick Radden Keefe,9780385545686,Standard Publishing,2021,English,560,The secret history of the Sackler dynasty and their role in the opioid crisis with OxyContin.,History,history;recommended;epic,Shelf H4,2023-01-15,34.50
Bad Blood,,John Carreyrou,9781524731656,Standard Publishing,2018,English,352,The investigative chronicle of Elizabeth Holmes and the multibillion-dollar fraud of Theranos.,Business,business;recommended,Shelf B4,2023-01-15,31.00
Superintelligence,,Nick Bostrom,9780198739838,Standard Publishing,2014,English,352,"Paths, dangers, and strategies regarding artificial general intelligence and the alignment problem.",Technology,technology;recommended,Shelf T1,2023-01-15,34.00
Life 3.0,,Max Tegmark,9781101946596,Standard Publishing,2017,English,384,MIT professor Max Tegmark explores being human in the age of Artificial Intelligence.,Technology,technology;recommended,Shelf T6,2023-01-15,29.99
The Code Breaker,,Walter Isaacson,9781982115852,Standard Publishing,2021,English,560,"Jennifer Doudna, gene editing with CRISPR, and the future of the human race.",Biography,biography;recommended;epic,Shelf B2,2023-01-15,21.50
Algorithms to Live By,,Brian Christian;Tom Griffiths,9781627790369,Standard Publishing,2016,English,368,How computer science algorithms can be applied to human decision-making and everyday problems.,Technology,technology;recommended,Shelf T4,2023-01-15,20.00
Clean Craftsmanship,,Robert C. Martin,9780136915713,Standard Publishing,2021,English,400,"Disciplines, standards, and ethics for professional software developers and engineers.",Technology,technology;recommended,Shelf T3,2023-01-15,9.50
Domain-Driven Design,,Eric Evans,9780321125217,Standard Publishing,2003,English,560,Tackling complexity in the heart of software through ubiquitous language and bounded contexts.,Technology,technology;recommended;epic,Shelf T2,2023-01-15,34.99
Release It!,,Michael T. Nygard,9781680502398,Standard Publishing,2018,English,398,"Design and deploy production-ready software using circuit breakers, bulkheads, and timeouts.",Technology,technology;recommended,Shelf T4,2023-01-15,9.99
Continuous Delivery,,Jez Humble;David Farley,9780321601919,Standard Publishing,2010,English,512,"Reliable software releases through build, test, and deployment automation pipelines.",Technology,technology;recommended;epic,Shelf T4,2023-01-15,37.50
The DevOps Handbook,,Gene Kim;Jez Humble;Patrick Debois;John Willis,9781942788003,Standard Publishing,2016,English,480,Practical guidance for replicating the technical and management practices of high-performing technology organizations.,Technology,technology;recommended;epic,Shelf T5,2023-01-15,41.50
Accelerate,,Nicole Forsgren;Jez Humble;Gene Kim,9781942788331,Standard Publishing,2018,English,288,Building and scaling high performing technology organizations with empirical DORA research.,Technology,technology;recommended,Shelf T4,2023-01-15,41.99
Working Effectively with Legacy Code,,Michael Feathers,9780131177055,Standard Publishing,2004,English,456,Strategies for modifying legacy applications safely by getting tests in place around existing code.,Technology,technology;recommended;epic,Shelf T1,2023-01-15,22.00
Grokking Machine Learning,,Luis Serrano,9781617295911,Standard Publishing,2021,English,544,An intuitive and visual introduction to machine learning concepts without heavy calculus.,Technology,technology;recommended;epic,Shelf T3,2023-01-15,15.00
Hands-On Machine Learning,,Aurélien Géron,9781098125974,Standard Publishing,2022,English,856,"Practical Machine Learning with Scikit-Learn, Keras, and TensorFlow for end-to-end projects.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,40.99
Kubernetes in Action,,Marko Luksa,9781617293726,Standard Publishing,2017,English,624,"A comprehensive guide to container orchestration, pods, services, ingress, and deployments.",Technology,technology;recommended;epic,Shelf T3,2023-01-15,18.00
High Performance MySQL,,Silvia Botros;Jeremy Tinley,9781492080510,Standard Publishing,2021,English,378,"Optimization, backups, replication, and scaling for modern MySQL production databases.",Technology,technology;recommended,Shelf T1,2023-01-15,16.00
Designing Distributed Systems,,Brendan Burns,9781491983645,Standard Publishing,2018,English,160,"Patterns and paradigms for scalable, reliable services by Kubernetes co-founder Brendan Burns.",Technology,technology;recommended,Shelf T2,2023-01-15,10.99
Microservice Patterns,,Chris Richardson,9781617294549,Standard Publishing,2018,English,520,"Design patterns, transactional messaging (outbox/saga), and decomposing monolithic architectures.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,12.00
Staff Engineer,,Will Larson,9781736417904,Standard Publishing,2021,English,280,"Leadership beyond the management track: archetypes, influence, and impact at scale.",Technology,technology;recommended,Shelf T2,2023-01-15,39.00
An Elegant Puzzle,,Will Larson,9781732265189,Standard Publishing,2019,English,280,"Systems of engineering management: sizing teams, tech debt, reorganizations, and execution.",Technology,technology;recommended,Shelf T6,2023-01-15,10.00
Modern Software Engineering,,David Farley,9780137314911,Standard Publishing,2021,English,256,"Doing what works: iterative learning, modularity, cohesion, and empirical software engineering.",Technology,technology;recommended,Shelf T5,2023-01-15,12.99
The C Programming Language,,Brian W. Kernighan;Dennis M. Ritchie,9780131103627,Standard Publishing,1978,English,272,The definitive guide to ANSI C programming written by the creators.,Technology,technology;recommended,Shelf T5,2023-01-15,13.00
Structure and Interpretation of Classical Mechanics,,Gerald Jay Sussman;Jack Wisdom,9780262028967,Standard Publishing,2015,English,552,Classical mechanics through computer algorithms and symbolic computing.,Science,science;recommended;epic,Shelf S1,2023-01-15,39.00
Calculus,,Michael Spivak,9780914098911,Standard Publishing,2008,English,680,"Rigorous, beautiful theoretical calculus textbook.",Science,science;recommended;epic,Shelf S2,2023-01-15,36.00
Linear Algebra Done Right,,Sheldon Axler,9783319110790,Standard Publishing,2015,English,340,Linear algebra focusing on vector spaces and linear maps before determinants.,Science,science;recommended,Shelf S4,2023-01-15,9.50
"The Art of Computer Programming, Vol. 1",,Donald E. Knuth,9780201896831,Standard Publishing,1997,English,672,"Fundamental algorithms, data structures, and mathematical foundations.",Technology,technology;recommended;epic,Shelf T5,2023-01-15,13.99
